metadata_jobPostId,metadata_newPostingDate,title_display,primary_category,employmentTypes,seniority_group,salary_band,average_salary,applications_per_posting,views_per_posting,vacancy_demand
MCF-2023-0820461,2023-10-27,Customer Service Specialist,Customer Service,Full Time,Junior,<3000,2850.0,1,15,2
MCF-2024-0596902,2024-04-24,Dental Receptionist,Healthcare / Pharmaceutical,Permanent,Entry Level,<3000,2250.0,2,42,1
MCF-2024-0410638,2024-03-20,Mobile Recruiter,Human Resources,Permanent,Junior,<3000,2050.0,0,6,2
MCF-2023-0542133,2023-07-17,L2 English Language Teacher | 5 Days | Cashew - 4769,Education and Training,Permanent,Senior,3000-4999,3150.0,0,0,1
MCF-2023-0477768,2023-06-22,Retail Sales Executive,Sales / Retail,Full Time,Entry Level,<3000,2750.0,0,29,1
MCF-2023-0587645,2023-08-01,"Admin Executive (Central, Bunkers)",Admin / Secretarial,Permanent,Junior,<3000,2650.0,0,3,1
MCF-2024-0655935,2024-05-06,"Qc Lab Analyst (Gmp, Biopharma Plant Mnc/ Shift, Up To $4500 Basic) #Hka",Sciences / Laboratory / R&D,Full Time,Junior,3000-4999,3500.0,0,0,2
MCF-2023-0480550,2023-06-22,Engineer / Electrical Engineer – Protection Systems ( Junior / Entry Level),Engineering,Permanent,Junior,5000-7999,6500.0,9,114,2
MCF-2023-0452756,2023-06-13,Beautician,Customer Service,Full Time,Senior,3000-4999,3550.0,0,32,4
MCF-2024-0310598,2024-03-01,Restaurant Captain,F&B,Full Time,Junior,3000-4999,3500.0,0,7,2
MCF-2024-0714125,2024-05-16,Operation Executive,Advertising / Media,Full Time,Junior,3000-4999,4400.0,1,28,1
MCF-2023-0934216,2023-11-27,Marketing Associate,Marketing / Public Relations,Full Time,Junior,<3000,2500.0,1,17,1
MCF-2024-0628895,2024-04-30,Homeroom Teacher,Others,Full Time,Mid Level,3000-4999,4750.0,0,2,3
MCF-2023-0493957,2023-06-28,Translator (Wfh Opportunity),Consulting,Contract,Entry Level,<3000,2650.0,0,15,10
MCF-2023-1048066,2023-12-21,Sales Engineer - Hvac / Entry Level,Engineering,Permanent,Manager,3000-4999,3750.0,0,0,1
MCF-2024-0380156,2024-03-14,It Support Technician,Information Technology,Full Time,Entry Level,<3000,3000.0,0,9,1
MCF-2024-0738501,2024-05-21,Service Leaders In Orchard (Dempsey),F&B,Full Time,Entry Level,<3000,2700.0,0,5,1
MCF-2024-0695253,2024-05-13,Sales Executive,Customer Service,Full Time,Mid Level,3000-4999,3900.0,0,1,4
MCF-2023-0389075,2023-05-19,Senior Audit Manager (Financial Services),Accounting / Auditing / Taxation,Full Time,Manager,8000+,10500.0,0,37,2
MCF-2023-0617952,2023-08-14,Property Officer,Real Estate / Property Management,Full Time,Junior,3000-4999,3050.0,0,3,2
MCF-2023-0479945,2023-06-22,Supervisor,F&B,Permanent,Manager,3000-4999,4000.0,0,13,3
MCF-2024-0188916,2024-02-06,Human Resource Specialist,Human Resources,Full Time,Junior,3000-4999,4000.0,1,31,1
MCF-2023-0357341,2023-08-18,Research Fellow (Nucleation And Crystallization),Sciences / Laboratory / R&D,Full Time,Entry Level,5000-7999,7500.0,0,26,1
MCF-2023-0250027,2023-06-06,Customer Service Officer,Customer Service,Permanent,Entry Level,3000-4999,3400.0,26,530,10
MCF-2023-0907671,2023-11-22,Associate Soc Analyst,Information Technology,Full Time,Entry Level,3000-4999,5000.0,0,2,4
MCF-2023-0673892,2023-09-04,Driver,Building and Construction,Full Time,Mid Level,3000-4999,4250.0,1,22,3
MCF-2023-0745908,2023-09-29,Sales & Admin Coordinator [Pandan / Up $3000 / Allowances / Vb] - Fa1,Admin / Secretarial,Full Time,Junior,<3000,2750.0,0,0,1
MCF-2023-0992665,2023-12-09,Spa Therapist,Personal Care / Beauty,Permanent,Mid Level,3000-4999,4000.0,0,1,3
MCF-2024-0651440,2024-05-06,"Assistant Manager/Manager, Renewal (Group Insurance) ($ 6.5K)",Insurance,Permanent,Junior,5000-7999,5500.0,0,4,1
MCF-2023-0244080,2023-03-28,Sn11958687 - Cybersecurity Engineer (User And Entity Behavior Analytics),Information Technology,Permanent,Senior,8000+,9000.0,1,52,1
MCF-2023-0865299,2023-11-14,Chef,F&B,Full Time,Entry Level,3000-4999,3400.0,0,0,5
MCF-2023-0509870,2023-07-05,Waiter & Waitress 服务员,F&B,Contract,Entry Level,<3000,2100.0,0,2,3
MCF-2024-0346072,2024-03-08,Warehouse Senior Officer,Customer Service,Full Time,Junior,3000-4999,4100.0,0,0,3
MCF-2024-0674294,2024-05-09,M&A Assistant,Professional Services,Full Time,Entry Level,3000-4999,3400.0,0,8,1
MCF-2024-0048020,2024-01-10,Hr & Admin Executive #65228,Human Resources,Permanent,Entry Level,<3000,2550.0,1,4,3
MCF-2024-0596319,2024-04-24,6723 - Commercial Officer [ Estimating And Invoicing | Ship Repairs Background | Up To $5K ],Admin / Secretarial,Permanent,Junior,3000-4999,4500.0,1,27,1
MCF-2023-0990408,2023-12-08,Spa Therapist,Personal Care / Beauty,Full Time,Junior,3000-4999,4000.0,0,1,5
MCF-2023-0622807,2023-08-15,Manipulative Therapist,Customer Service,Permanent,Entry Level,5000-7999,6000.0,0,1,5
MCF-2023-0774446,2023-10-11,Temp Admin Assistant (No Need Experience) / 3-6 Months,Accounting / Auditing / Taxation,Permanent,Entry Level,<3000,1250.0,0,2,2
MCF-2023-0065400,2023-03-30,Teacher Assistant,Education and Training,Contract,Junior,<3000,2100.0,39,671,2
MCF-2023-0466452,2023-06-18,"Ict Executive (Operations, Administration, Data Management & Protection)",Information Technology,Full Time,Junior,3000-4999,3325.0,3,75,1
MCF-2023-0327974,2023-06-19,Senior Project Manager,Building and Construction,Full Time,Manager,8000+,10000.0,10,107,3
MCF-2023-0367418,2023-05-30,"Chemical Engineer (Laboratory/ Manufacturing, West)",Engineering,Permanent,Entry Level,3000-4999,4250.0,6,73,3
MCF-2023-0674540,2023-09-04,Cleaning Operation Executive,Customer Service,Full Time,Junior,3000-4999,3250.0,0,3,1
MCF-2023-0583604,2023-07-31,6 Months Hr Executive *West* #Hdt,Admin / Secretarial,Permanent,Entry Level,3000-4999,3500.0,0,0,2
MCF-2023-0720766,2023-09-20,Service Technician (Manufacturing Machines),Repair and Maintenance,Permanent,Junior,3000-4999,3350.0,0,0,1
MCF-2024-0729194,2024-05-19,Interior Designer (Intermediate),Architecture / Interior Design,Permanent,Mid Level,3000-4999,4500.0,0,4,1
MCF-2024-0673955,2024-05-09,Sap Grc Security Consultant,Information Technology,Full Time,Mid Level,8000+,8750.0,0,1,1
MCF-2024-0504794,2024-04-07,Tuition Coordinator - Admin Support & Sales,Admin / Secretarial,Permanent,Entry Level,3000-4999,3550.0,0,3,4
MCF-2023-0601094,2023-08-07,Central Maintenance Engineer Intern,Engineering,Internship/Attachment,Entry Level,<3000,1000.0,0,0,3
MCF-2023-0698901,2023-09-12,Account Executive,Building and Construction,Permanent,Mid Level,3000-4999,3750.0,1,19,1
MCF-2023-0694134,2023-09-11,Service Crew (All Levels),F&B,Permanent,Entry Level,<3000,2900.0,0,1,10
MCF-2024-0314771,2024-03-04,Finance Admin And Executive,Banking and Finance,Full Time,Junior,<3000,3000.0,1,18,1
MCF-2023-0874794,2023-11-15,"Human Resource Coordinator, Office Support",Admin / Secretarial,Permanent,Junior,<3000,3000.0,0,1,1
MCF-2023-0429693,2023-06-05,"5200 - Chef & Assistant Chef [ Korean Cuisine / Live Fish Handling / Kallang / Up To $3,200 ]",F&B,Permanent,Senior,<3000,2500.0,0,22,1
MCF-2024-0715996,2024-05-16,Information Efficiency Optimization Expert (Product Background),General Management,Full Time,Junior,8000+,27500.0,1,13,1
MCF-2023-0841656,2023-11-06,Quality Inspector,Engineering,Permanent,Junior,<3000,2800.0,0,0,1
MCF-2023-0506161,2023-07-04,Veterinary Receptionist,Admin / Secretarial,Full Time,Entry Level,<3000,2700.0,1,8,1
MCF-2024-0314249,2024-03-03,Project System Sales Engineers,Manufacturing,Permanent,Entry Level,3000-4999,4250.0,0,0,1
MCF-2023-0677897,2023-09-05,India Associate/Senior Associate,Banking and Finance,Full Time,Entry Level,8000+,14000.0,1,21,1
MCF-2023-0823195,2023-10-29,"Fund Management Manager / Corporate Finance / Orchard / Up To $6,000 [Lwx]",Banking and Finance,Permanent,Manager,5000-7999,5750.0,0,3,1
MCF-2023-0756523,2023-10-04,Cafe Service Crew,Customer Service,Full Time,Junior,<3000,2400.0,0,25,2
MCF-2023-0317061,2023-06-19,Manager - Asset Management,Banking and Finance,Permanent,Manager,5000-7999,7750.0,10,190,1
MCF-2024-0076087,2024-01-15,Contract Patient Service Associate 12M #Hhlt,Healthcare / Pharmaceutical,Contract,Entry Level,<3000,2250.0,1,2,1
MCF-2023-0981324,2023-12-07,Contract Anti-Financial Crime Officer (Afc),Banking and Finance,Contract,Junior,5000-7999,5500.0,1,10,1
MCF-2023-0689206,2023-09-08,Corporate Sales Executive,Information Technology,Permanent,Junior,3000-4999,3200.0,0,0,2
MCF-2023-0242640,2023-03-28,Kitchen Crew,F&B,Part Time,Entry Level,<3000,2600.0,1,46,1
MCF-2024-0467490,2024-04-01,Class 3 Driver,F&B,Full Time,Entry Level,<3000,2650.0,0,5,1
MCF-2024-0431622,2024-03-24,Engineering Manager ( Java),Engineering,Full Time,Mid Level,8000+,20000.0,0,10,2
MCF-2023-0698994,2023-09-12,Part Time Cashier @ Tampines ($8/Hr),General Work,Temporary,Entry Level,<3000,1006.0,0,2,2
MCF-2023-0716515,2023-09-19,Infant Educarer [Yishun / Sembawang / 5.5 Days / Up $3400] - Fa1,Education and Training,Full Time,Junior,<3000,2950.0,0,3,2
MCF-2023-0698400,2023-09-12,Manager – Solution Design (3Pl/Contract Logistics),Engineering,Contract,Manager,5000-7999,5850.0,0,0,1
MCF-2024-0701942,2024-05-14,Administration Manager,Admin / Secretarial,Permanent,Junior,5000-7999,7000.0,1,33,1
MCF-2024-0588207,2024-04-23,Electronics Assistant Engineer / Engineer @ Changi/Tuas (With Shuttle Service),Engineering,Contract,Junior,3000-4999,3500.0,0,5,1
MCF-2023-0951817,2023-11-30,"Technical Manager (Tender, Building Construction)",Building and Construction,Full Time,Manager,8000+,11000.0,0,7,1
MCF-2023-0459046,2023-06-15,"Logistic Coordinator| Up $3,500 | 5 Days",Engineering,Permanent,Junior,3000-4999,3250.0,11,81,2
MCF-2024-0050054,2024-01-10,"Radiographer ( 5 Days Week, Alternate Saturday ) #Alliedhealth",Consulting,Permanent,Junior,3000-4999,4500.0,0,0,4
MCF-2024-0125738,2024-01-24,Qc Analyst (1-Year Contract),Sciences / Laboratory / R&D,Contract,Entry Level,3000-4999,4250.0,1,7,1
MCF-2023-0789763,2023-10-16,Safety Manager (Risk & Compliance) Hospitality Mnc,General Management,Permanent,Manager,5000-7999,7850.0,0,0,1
MCF-2023-1044564,2023-12-21,Assistant Project Manager,Building and Construction,Full Time,Junior,3000-4999,4500.0,1,4,1
MCF-2024-0088737,2024-01-17,Warehouse Assistant / Fulltime / Kaki Bukit (East) / Wy,Logistics / Supply Chain,Full Time,Entry Level,<3000,3000.0,0,2,1
MCF-2023-0498976,2023-06-30,Conveyancing Secretary,Legal,Full Time,Entry Level,<3000,2050.0,0,8,1
MCF-2023-0338762,2023-05-03,Admin Assistant (Merchandise),Purchasing / Merchandising,Permanent,Entry Level,<3000,2250.0,12,187,1
MCF-2024-0085974,2024-01-17,Carpenters Needed 木工厂聘请木工大工，中工,Building and Construction,Contract,Mid Level,<3000,2500.0,0,0,2
MCF-2023-0352114,2023-05-08,Electrical Engineer,Engineering,Contract,Junior,3000-4999,4600.0,3,95,8
MCF-2023-0668563,2023-08-31,Java Developer,Information Technology,Full Time,Junior,3000-4999,4500.0,1,5,3
MCF-2024-0163027,2024-01-31,Igh Project (Trailer-Truck Driver),Others,Full Time,Entry Level,3000-4999,4800.0,0,0,10
MCF-2023-0357036,2023-05-09,Baker Assistant,F&B,Part Time,Entry Level,<3000,1550.0,2,69,1
MCF-2023-0800228,2023-10-19,Baker (Bakery),Customer Service,Full Time,Entry Level,<3000,2000.0,0,0,5
MCF-2023-0512524,2023-07-06,Cleaner & Helper (Part-Time / Full-Time),General Work,Part Time,Entry Level,<3000,1400.0,1,20,2
MCF-2024-0737924,2024-05-21,Site Supervisor,Building and Construction,Permanent,Mid Level,3000-4999,3500.0,0,1,3
MCF-2023-0400735,2023-05-24,"Associate, Relationship Executive, Sme Banking, Institutional Banking Group (Id: 230000Ao)",Banking and Finance,Permanent,Junior,5000-7999,5275.0,59,411,1
MCF-2023-1069499,2023-12-28,Videographer,Advertising / Media,Permanent,Entry Level,<3000,3000.0,0,4,1
MCF-2023-0420891,2023-05-31,Presales Manager (Services),Banking and Finance,Permanent,Manager,8000+,15000.0,14,128,2
MCF-2023-0454091,2023-06-13,Production Administrator - Jh,Admin / Secretarial,Permanent,Entry Level,<3000,2500.0,1,21,2
MCF-2024-0467402,2024-04-01,"Avp, Cyber Security Engineer, Information Security Services, Technology & Operations (Id: Wd63275)",Banking and Finance,Permanent,Manager,8000+,9100.0,1,13,1
MCF-2024-0616648,2024-04-28,"Senior Sales Executive (Mnc Company | West) - Up To $5,000 + Commission",Sales / Retail,Permanent,Senior,3000-4999,5000.0,0,4,1
MCF-2023-0862836,2023-11-13,Lead Material Coordinator,Engineering,Contract,Senior,5000-7999,8000.0,0,0,1
MCF-2023-0562839,2023-07-24,Digital Marketing And Communications Executive,Advertising / Media,Permanent,Entry Level,3000-4999,3150.0,0,0,1
MCF-2024-0265996,2024-02-23,Sales Executive (Outdoor - Commission Based),Sales / Retail,Full Time,Junior,3000-4999,3750.0,0,6,1
MCF-2024-0200094,2024-02-08,It Helpdesk Analyst (Tai Seng),Information Technology,Contract,Entry Level,3000-4999,3150.0,0,1,1
MCF-2024-0512554,2024-04-08,Regional Sales Director,General Management,Permanent,Manager,8000+,12750.0,1,78,3
MCF-2023-0880539,2023-11-16,Finance Manager,Accounting / Auditing / Taxation,Full Time,Manager,3000-4999,4650.0,1,12,1
MCF-2024-0068181,2024-01-12,Logistics Supervisor (Supply Chain Industry),Logistics / Supply Chain,Permanent,Senior,3000-4999,4250.0,1,2,1
MCF-2024-0169237,2024-02-01,"Assistant Manager, Corporate Distribution",Banking and Finance,Permanent,Mid Level,5000-7999,6250.0,0,1,1
MCF-2023-0363820,2023-05-11,"8018 - Preschool Cooks [ 5 Days / $2,000 / Islandwide]",Others,Permanent,Entry Level,<3000,1900.0,0,14,10
MCF-2023-0302200,2023-05-22,Fondant Artist,F&B,Permanent,Junior,<3000,2300.0,11,149,2
MCF-2023-0712275,2023-09-18,Inside Sales Executive (Digital Advertising),Advertising / Media,Permanent,Junior,3000-4999,4250.0,0,1,1
MCF-2023-0780010,2023-10-12,Stall Supervisor/Assistant,F&B,Full Time,Junior,3000-4999,3350.0,0,2,1
MCF-2024-0157390,2024-01-30,"Software Developer (C#, .Net) / Financial Mnc / Central",Information Technology,Permanent,Senior,5000-7999,7500.0,0,1,1
MCF-2024-0610938,2024-04-26,Research Assistant (Macc) - Singer Study Operation,Sciences / Laboratory / R&D,Full Time,Entry Level,3000-4999,3600.0,0,10,1
MCF-2023-0772326,2023-10-10,Lead Csa Engineer,Architecture / Interior Design,Full Time,Senior,8000+,9250.0,0,5,1
MCF-2024-0319038,2024-03-04,"Secretary (Manufacturing, West)",Admin / Secretarial,Permanent,Entry Level,<3000,3000.0,1,3,2
MCF-2023-0354104,2023-05-08,Dcs Process Technician (Oil&Gas/ Jurong Island),Engineering,Permanent,Mid Level,3000-4999,3750.0,38,226,2
MCF-2023-0697003,2023-09-12,Food Technologist - Up To 3.8K #Hhl,Sciences / Laboratory / R&D,Permanent,Junior,3000-4999,3600.0,1,7,1
MCF-2024-0093510,2024-01-18,Sales Merchandiser (Frozen Food),Purchasing / Merchandising,Permanent,Junior,<3000,2800.0,0,1,2
MCF-2024-0293056,2024-02-28,Teaching Assistant (Electrical And Computer Engineering),Education and Training,Full Time,Entry Level,5000-7999,5250.0,0,2,1
MCF-2023-0707826,2023-09-15,Assistant Manager (Ar Team),Accounting / Auditing / Taxation,Permanent,Senior,3000-4999,4300.0,0,0,1
MCF-2023-0584574,2023-08-01,Customer Service Executive,Admin / Secretarial,Part Time,Entry Level,<3000,2100.0,0,0,7
MCF-2023-0497778,2023-06-30,Engineer,Admin / Secretarial,Permanent,Mid Level,3000-4999,3600.0,0,7,2
MCF-2023-0407851,2023-05-26,Store Assistant Cum Delivery Driver,Logistics / Supply Chain,Permanent,Entry Level,<3000,2150.0,2,84,1
MCF-2024-0049430,2024-01-10,Cook Cum Cleaner,Others,Full Time,Entry Level,<3000,1750.0,0,1,2
MCF-2023-0536344,2023-07-14,Lobby Ambassador (Temp To Perm Role),Environment / Health,Temporary,Junior,<3000,2000.0,0,3,1
MCF-2023-0545395,2023-07-18,Tax Manager,Accounting / Auditing / Taxation,Permanent,Manager,5000-7999,6750.0,0,1,1
MCF-2023-0193237,2023-05-08,"Sales Engineer, Medical And Health Services",Consulting,Permanent,Junior,3000-4999,4150.0,6,172,2
MCF-2024-0565989,2024-04-18,Healthcare Operations Manager,Environment / Health,Full Time,Manager,5000-7999,5750.0,0,2,1
MCF-2023-0651990,2023-08-25,Wholesale Trade Manager,Customer Service,Full Time,Manager,5000-7999,7250.0,0,4,2
MCF-2023-1055347,2023-12-25,6723 - Business Development [ Healthcare | Research Laboratories],Sales / Retail,Full Time,Junior,3000-4999,4500.0,0,4,1
MCF-2024-0775800,2024-05-28,Business Central Technical Consultant,Information Technology,Permanent,Mid Level,8000+,8250.0,0,1,2
MCF-2023-0839624,2023-11-04,Planner / Manufacturing Mnc / East,Logistics / Supply Chain,Permanent,Mid Level,3000-4999,4750.0,0,0,1
MCF-2023-0717500,2023-09-19,Tcm Physician [ Certified / Central ] 8820,Healthcare / Pharmaceutical,Full Time,Junior,3000-4999,3500.0,0,0,1
MCF-2024-0122931,2024-01-24,Cloud Architect,Information Technology,Contract,Senior,8000+,17000.0,0,1,1
MCF-2023-0815587,2023-10-26,Inside Sales Representative,Customer Service,Contract,Junior,<3000,2750.0,0,2,1
MCF-2023-0780419,2023-10-12,Supervisor,General Management,Full Time,Entry Level,3000-4999,4000.0,0,0,5
MCF-2023-0490937,2023-06-27,Class 4 Driver,Logistics / Supply Chain,Full Time,Entry Level,3000-4999,3500.0,1,57,3
MCF-2024-0558013,2024-04-17,Beauty Consultant - Aesthetic Clinic / Packages Promotion / General Admin Duties [2683],Personal Care / Beauty,Full Time,Junior,<3000,2750.0,0,3,1
MCF-2023-0228855,2023-04-21,"Software Engineer / C#, C++, Vb.Net Asp.Net / Mobile Application Development",Engineering,Permanent,Senior,5000-7999,6500.0,6,69,2
MCF-2023-0601563,2023-08-07,Manager (Credit Control Retail/Salary Up To $6K) - Gl,Admin / Secretarial,Contract,Manager,5000-7999,5500.0,1,2,1
MCF-2023-0560974,2023-07-24,Assistant Outlet Manager - Islandwide,F&B,Full Time,Manager,3000-4999,3025.0,0,0,10
MCF-2024-0703472,2024-05-14,Therapy Assistant ( Full Time/Part Time )|Hougang #Hst,Consulting,Temporary,Entry Level,<3000,2250.0,0,2,3
MCF-2024-0343813,2024-03-07,Junior Sous Chef,Hospitality,Full Time,Mid Level,3000-4999,3300.0,0,0,2
MCF-2023-1072639,2023-12-29,F&B Manager,F&B,Full Time,Manager,3000-4999,3250.0,0,5,2
MCF-2023-0339077,2023-05-03,Anti-Bribery Analyst,Banking and Finance,Contract,Entry Level,3000-4999,4250.0,16,105,2
MCF-2023-0572841,2023-07-27,Sea Freight Coordinator / East / Export / 3 Months Contract / Global Mnc,Logistics / Supply Chain,Temporary,Junior,<3000,2350.0,0,0,1
MCF-2024-0106111,2024-01-20,Customer Service Specialist (6-Months Contract) #66066,Customer Service,Contract,Junior,<3000,2600.0,0,2,3
MCF-2024-0223319,2024-02-15,Clinic Manager (Up To S$6500 Based On Experience) Islandwide,Healthcare / Pharmaceutical,Permanent,Manager,5000-7999,6000.0,0,3,1
MCF-2023-0869321,2023-11-14,"Warehouse Assistant (North, Forklift, 6 Days)",Manufacturing,Full Time,Junior,<3000,1900.0,0,0,1
MCF-2024-0666264,2024-05-08,Warehouse & Hse Officer,Building and Construction,Full Time,Junior,3000-4999,3500.0,1,15,1
MCF-2024-0323499,2024-03-05,Recruitment Executive / Consultant,Customer Service,Full Time,Entry Level,3000-4999,3750.0,1,3,2
MCF-2024-0158360,2024-01-31,Vessel Manager (Oil Tankers),Others,Full Time,Manager,8000+,11000.0,0,0,1
MCF-2024-0090234,2024-01-17,Devops / Software Engineer,Information Technology,Contract,Mid Level,5000-7999,6250.0,0,3,2
MCF-2023-0645858,2023-08-23,Personal Driver,Others,Permanent,Junior,<3000,2350.0,1,13,2
MCF-2023-0773962,2023-10-10,Accountant,Wholesale Trade,Permanent,Mid Level,3000-4999,4000.0,1,15,3
MCF-2023-0553095,2023-07-20,System Analyst,Information Technology,Permanent,Senior,5000-7999,8000.0,1,8,2
MCF-2024-0006899,2024-01-02,Supervisor And General Foreman (M&E) (Air-Conditioning),Building and Construction,Full Time,Mid Level,3000-4999,3575.0,0,0,4
MCF-2023-0702871,2023-09-14,Relationship Manager (Retail Banking),Banking and Finance,Permanent,Junior,3000-4999,3850.0,0,0,3
MCF-2023-0478385,2023-06-22,Management Trainee,F&B,Permanent,Entry Level,3000-4999,3700.0,1,37,10
MCF-2023-0910757,2023-11-22,6154 - Sales Coordinator [ Mechanical / Pneumatic / Class 3 License ],Sales / Retail,Full Time,Entry Level,<3000,2800.0,0,0,1
MCF-2023-0404539,2023-05-25,"Assistant Engineer, Im",Engineering,Contract,Entry Level,<3000,2900.0,13,147,2
MCF-2023-0851842,2023-11-09,Accountant,Accounting / Auditing / Taxation,Full Time,Junior,<3000,2650.0,0,11,1
MCF-2023-0405060,2023-05-25,2402 - Customer Service [ Freight Forwarding / From $2500 / 5Days ],Customer Service,Permanent,Entry Level,<3000,3000.0,1,33,1
MCF-2023-0387412,2023-05-19,Social Worker (Whispering Hearts Fsc @ Jurong West),Social Services,Full Time,Junior,3000-4999,4100.0,15,190,2
MCF-2023-0622957,2023-08-15,"Strategy & Bd Manager, Asean",Others,Permanent,Senior,8000+,10000.0,1,18,1
MCF-2024-0714583,2024-05-16,It Inside Sales Executive,Information Technology,Full Time,Junior,3000-4999,3750.0,0,19,2
MCF-2023-1005032,2023-12-12,4301- Delivery Driver Class 3 /3A [Parcel Delivery],Logistics / Supply Chain,Full Time,Entry Level,<3000,2600.0,0,0,2
MCF-2023-0803774,2023-10-21,Financial Accountant,Accounting / Auditing / Taxation,Permanent,Junior,5000-7999,5850.0,1,22,1
MCF-2024-0695307,2024-05-13,Technical Sales Engineer,Sales / Retail,Full Time,Senior,3000-4999,4200.0,0,3,1
MCF-2023-0805813,2023-10-23,Administrative Executive,Admin / Secretarial,Full Time,Junior,<3000,2650.0,0,1,2
MCF-2023-1002496,2023-12-12,"Executive, Facilities Management (Healthcare) #Hms",Healthcare / Pharmaceutical,Contract,Junior,3000-4999,4250.0,0,0,2
MCF-2023-0354896,2023-05-08,Sales Manager #Sgup #Sgunitedtraineeship,Sales / Retail,Internship/Attachment,Entry Level,3000-4999,3800.0,2,58,1
MCF-2024-0067121,2024-01-12,Software Engineer (Automation) – East,Engineering,Permanent,Junior,3000-4999,3750.0,0,0,2
MCF-2023-0416985,2023-05-30,Commercial Analyst,Professional Services,Permanent,Mid Level,8000+,9000.0,6,108,1
MCF-2023-0415036,2023-05-30,"Support Specialist, Information Technology",Information Technology,Contract,Mid Level,8000+,13500.0,12,105,2
MCF-2023-0470442,2023-06-19,Architectural Drafter,Architecture / Interior Design,Permanent,Junior,3000-4999,3400.0,2,187,2
MCF-2023-0470951,2023-06-20,Hr Recruiter #Entrylevel #Highincentives #Trainingprovided,Consulting,Contract,Entry Level,3000-4999,3500.0,3,26,3
MCF-2024-0388566,2024-03-15,Supervisor,Manufacturing,Full Time,Mid Level,3000-4999,4150.0,0,0,3
MCF-2024-0369807,2024-03-13,Sales Manager,Events / Promotions,Full Time,Manager,8000+,10000.0,1,10,1
MCF-2024-0317221,2024-03-04,Admin Assistant,Admin / Secretarial,Full Time,Junior,<3000,2050.0,0,28,1
MCF-2024-0156479,2024-01-30,Preschool Teacher (Cl),Education and Training,Full Time,Junior,3000-4999,3500.0,0,0,2
MCF-2024-0653368,2024-05-06,*Entry Level* 1 Year Aml/Compliance Analyst (Bank) #Bcx,Banking and Finance,Contract,Junior,3000-4999,3250.0,1,18,2
MCF-2023-0693730,2023-09-11,Account Assistant | Account Payable & Receivable | Kranji - 4769,Accounting / Auditing / Taxation,Permanent,Junior,<3000,2400.0,0,0,1
MCF-2023-0648167,2023-08-24,Warehouse Assistant (Id7005),Logistics / Supply Chain,Full Time,Entry Level,<3000,2700.0,0,0,1
MCF-2024-0197654,2024-02-07,Mechanical Engineer,Engineering,Full Time,Junior,3000-4999,4750.0,0,2,5
MCF-2023-0342680,2023-06-12,Facilities Maintenance Technician,Repair and Maintenance,Full Time,Junior,<3000,2700.0,20,264,1
MCF-2023-0336420,2023-05-02,Entertainment Manager,Consulting,Full Time,Manager,3000-4999,4500.0,7,64,1
MCF-2024-0439257,2024-03-25,"Senior/Staff Nurse (Operating Theatre / Up To $5500, Sign-On Bonus) #Hka",Healthcare / Pharmaceutical,Permanent,Junior,3000-4999,4250.0,0,0,15
MCF-2024-0426144,2024-03-22,Talent Acquisition Executive / Lead,Education and Training,Permanent,Senior,3000-4999,3500.0,0,4,1
MCF-2024-0087319,2024-01-17,Beautician,Personal Care / Beauty,Permanent,Mid Level,3000-4999,4000.0,0,0,3
MCF-2023-0293444,2023-04-14,"Analyst, Corporate Finance | Business Advisory Firm",Accounting / Auditing / Taxation,Permanent,Senior,5000-7999,5250.0,9,99,2
MCF-2023-0421096,2023-05-31,Assistant Sales Manager,Marketing / Public Relations,Full Time,Manager,3000-4999,4000.0,4,52,1
MCF-2024-0181958,2024-02-05,Restaurant Supervisor,F&B,Permanent,Entry Level,<3000,3000.0,0,0,1
MCF-2023-0800301,2023-10-19,"Sales & Marketing Executive (Oil & Gas, Up To $8,000)",Logistics / Supply Chain,Permanent,Junior,5000-7999,6000.0,0,0,1
MCF-2023-0251124,2023-03-30,Financial Services Consultant,Insurance,Permanent,Entry Level,8000+,11000.0,2,64,5
MCF-2024-0753251,2024-05-24,Senior .Net Software Developer,Information Technology,Permanent,Senior,8000+,10250.0,1,9,1
MCF-2023-0486007,2023-06-26,"Technical Solutions Consultant, Thermal",Consulting,Permanent,Mid Level,5000-7999,6500.0,0,18,1
MCF-2024-0182791,2024-02-05,Accounts Executive ($3000 To $3500) #Njn,Accounting / Auditing / Taxation,Contract,Entry Level,3000-4999,3250.0,1,4,2
MCF-2023-0445429,2023-07-29,Senior Software Engineer / .Net Software Developer / Senior /Software Project Leader ( X 5 Role ),Engineering,Permanent,Junior,5000-7999,7500.0,3,33,2
MCF-2023-0502124,2023-07-03,0213 - Admin Assistant [ Bukit Batok ],Admin / Secretarial,Full Time,Entry Level,<3000,1800.0,0,9,1
MCF-2023-1051201,2023-12-22,Service Centre Technician,Engineering,Permanent,Entry Level,<3000,2500.0,0,4,10
MCF-2024-0291256,2024-02-28,Catering Operations Executive,F&B,Full Time,Entry Level,3000-4999,3150.0,1,3,1
MCF-2024-0613286,2024-04-26,Assistant Chef,F&B,Full Time,Entry Level,3000-4999,4350.0,0,3,5
MCF-2024-0429383,2024-03-22,Quality Assurance Engineer,Engineering,Full Time,Mid Level,<3000,3000.0,0,6,3
MCF-2024-0567779,2024-04-18,"Engineer (Rf) /Serangoon North/ Up To $6,500",Engineering,Permanent,Junior,5000-7999,5250.0,1,11,1
