posting_month,primary_category,postings,total_vacancies,median_salary,avg_applications
2024-01,Healthcare / Pharmaceutical,2603,13146,3750.0,0.15827890895121013
2024-01,Hospitality,527,1579,2750.0,0.27893738140417457
2024-01,Human Resources,1591,2754,4000.0,0.497171590194846
2024-01,Information Technology,7610,17700,6800.0,0.38791064388961893
2024-01,Insurance,253,466,5500.0,0.36363636363636365
2024-01,Legal,269,380,7750.0,0.3308550185873606
2024-01,Logistics / Supply Chain,3479,7546,3250.0,0.2566829548720897
2024-01,Manufacturing,1293,3126,3250.0,0.15467904098994587
2024-01,Marketing / Public Relations,1610,2372,4000.0,0.41987577639751555
2024-01,Medical / Therapy Services,267,662,4200.0,0.09363295880149813
2024-01,Others,2314,7053,3925.0,0.2303370786516854
2024-01,Personal Care / Beauty,831,3601,4000.0,0.02527075812274368
2024-01,Precision Engineering,54,74,3850.0,0.2777777777777778
2024-01,Professional Services,277,757,4250.0,0.23104693140794225
2024-01,Public / Civil Service,76,742,4100.0,0.34210526315789475
2024-01,Purchasing / Merchandising,329,479,3500.0,0.43465045592705165
2024-01,Real Estate / Property Management,243,456,4000.0,0.4773662551440329
2024-01,Repair and Maintenance,660,1663,2900.0,0.11969696969696969
2024-01,Risk Management,90,138,6625.0,0.5888888888888889
2024-01,Sales / Retail,2850,6967,3600.0,0.19017543859649122
2024-01,Sciences / Laboratory / R&D,760,1111,5000.0,0.22894736842105262
2024-01,Security and Investigation,187,3501,2675.0,0.12299465240641712
2024-01,Social Services,270,847,3712.5,0.35555555555555557
2024-01,Telecommunications,49,113,4250.0,0.3877551020408163
2024-01,Travel / Tourism,82,190,3250.0,0.2682926829268293
2024-01,Wholesale Trade,236,485,4000.0,0.3135593220338983
2024-02,Accounting / Auditing / Taxation,5277,11440,3750.0,0.4235361000568505
2024-02,Admin / Secretarial,6539,12937,2900.0,0.38583881327420094
2024-02,Advertising / Media,1004,1650,3750.0,0.46912350597609564
2024-02,Architecture / Interior Design,904,1738,4250.0,0.1747787610619469
2024-02,Banking and Finance,2803,7128,6250.0,0.5522654298965394
2024-02,Building and Construction,4978,10662,4250.0,0.24186420249096022
2024-02,Consulting,1524,6319,5250.0,0.38123359580052496
2024-02,Customer Service,4169,14639,3000.0,0.23482849604221637
2024-02,Design,435,694,4000.0,0.34022988505747126
2024-02,Education and Training,2121,10603,3400.0,0.2065063649222065
2024-02,Engineering,6646,13274,4100.0,0.2469154378573578
2024-02,Entertainment,115,332,4250.0,0.3391304347826087
2024-02,Environment / Health,620,1732,3750.0,0.2
2024-02,Events / Promotions,290,644,3375.0,0.36551724137931035
2024-02,F&B,4157,14475,3500.0,0.11474621121000722
2024-02,General Management,719,1524,4500.0,0.5980528511821975
2024-02,General Work,1011,4223,2400.0,0.17309594460929772
2024-02,Healthcare / Pharmaceutical,2356,13289,3750.0,0.1727504244482173
2024-02,Hospitality,466,1182,3000.0,0.22103004291845493
2024-02,Human Resources,1465,2597,4000.0,0.515358361774744
2024-02,Information Technology,7120,17180,7000.0,0.42275280898876405
2024-02,Insurance,245,732,5200.0,0.3673469387755102
2024-02,Legal,209,305,7250.0,0.3492822966507177
2024-02,Logistics / Supply Chain,2832,5395,3250.0,0.2701271186440678
2024-02,Manufacturing,1051,2299,3250.0,0.19980970504281637
2024-02,Marketing / Public Relations,1411,2149,4000.0,0.4514528703047484
2024-02,Medical / Therapy Services,288,938,4250.0,0.12152777777777778
2024-02,Others,1395,2910,4000.0,0.3727598566308244
2024-02,Personal Care / Beauty,665,2584,4000.0,0.045112781954887216
2024-02,Precision Engineering,36,50,3750.0,0.19444444444444445
2024-02,Professional Services,225,661,4250.0,0.4
2024-02,Public / Civil Service,56,532,4500.0,0.48214285714285715
2024-02,Purchasing / Merchandising,264,379,3500.0,0.3977272727272727
2024-02,Real Estate / Property Management,248,568,4000.0,0.4838709677419355
2024-02,Repair and Maintenance,548,1525,3000.0,0.12773722627737227
2024-02,Risk Management,69,105,7150.0,0.6376811594202898
2024-02,Sales / Retail,2340,6363,3600.0,0.2299145299145299
2024-02,Sciences / Laboratory / R&D,776,1110,4950.0,0.23067010309278352
2024-02,Security and Investigation,119,1398,2700.0,0.2857142857142857
2024-02,Social Services,316,554,3850.0,0.31329113924050633
2024-02,Telecommunications,35,48,4000.0,0.2571428571428571
2024-02,Travel / Tourism,81,231,3400.0,0.32098765432098764
2024-02,Wholesale Trade,176,325,4000.0,0.42045454545454547
2024-03,Accounting / Auditing / Taxation,6252,13357,3750.0,0.48864363403710814
2024-03,Admin / Secretarial,8045,16886,3000.0,0.3963952765692977
2024-03,Advertising / Media,1267,2076,3750.0,0.4664561957379637
2024-03,Architecture / Interior Design,1099,2101,4000.0,0.17561419472247497
2024-03,Banking and Finance,3447,9656,6450.0,0.6071946620249492
2024-03,Building and Construction,6199,13134,4250.0,0.2318115825133086
2024-03,Consulting,1778,7500,5000.0,0.44431946006749157
2024-03,Customer Service,4651,14854,3050.0,0.26252418834659214
2024-03,Design,537,896,4000.0,0.3054003724394786
2024-03,Education and Training,2642,9075,3400.0,0.2149886449659349
2024-03,Engineering,7780,14808,4250.0,0.26375321336760926
2024-03,Entertainment,136,350,4200.0,0.29411764705882354
2024-03,Environment / Health,551,2336,3700.0,0.24863883847549909
2024-03,Events / Promotions,357,754,3400.0,0.37815126050420167
2024-03,F&B,4501,16635,3500.0,0.14441235281048656
2024-03,General Management,778,1672,5000.0,0.5616966580976864
2024-03,General Work,1290,6958,2500.0,0.15658914728682172
2024-03,Healthcare / Pharmaceutical,2376,10972,3750.0,0.2015993265993266
2024-03,Hospitality,460,999,2900.0,0.3173913043478261
2024-03,Human Resources,1723,2852,4000.0,0.5484619849100406
2024-03,Information Technology,6986,15892,6750.0,0.4743773260807329
2024-03,Insurance,208,557,5700.0,0.4519230769230769
2024-03,Legal,239,351,7100.0,0.3723849372384937
2024-03,Logistics / Supply Chain,3354,6870,3250.0,0.3336314847942755
2024-03,Manufacturing,1254,2991,3350.0,0.20175438596491227
2024-03,Marketing / Public Relations,1672,2546,4000.0,0.4659090909090909
2024-03,Medical / Therapy Services,277,738,4500.0,0.10830324909747292
2024-03,Others,1633,3285,4000.0,0.3717085119412125
2024-03,Personal Care / Beauty,730,2665,4000.0,0.0958904109589041
2024-03,Precision Engineering,53,85,3400.0,0.22641509433962265
2024-03,Professional Services,316,806,4250.0,0.33860759493670883
2024-03,Public / Civil Service,51,224,4500.0,0.45098039215686275
2024-03,Purchasing / Merchandising,350,485,3300.0,0.42
2024-03,Real Estate / Property Management,257,513,3750.0,0.5136186770428015
2024-03,Repair and Maintenance,582,1548,2850.0,0.14604810996563575
2024-03,Risk Management,81,103,7000.0,0.6419753086419753
2024-03,Sales / Retail,2821,7637,3650.0,0.25700106345267637
2024-03,Sciences / Laboratory / R&D,852,1158,4575.0,0.2640845070422535
2024-03,Security and Investigation,156,1323,2800.0,0.1858974358974359
2024-03,Social Services,342,686,3850.0,0.32748538011695905
2024-03,Telecommunications,52,96,4450.0,0.23076923076923078
2024-03,Travel / Tourism,79,205,3500.0,0.3670886075949367
2024-03,Wholesale Trade,191,301,3800.0,0.3717277486910995
2024-04,Accounting / Auditing / Taxation,5918,11422,3750.0,1.046468401486989
2024-04,Admin / Secretarial,7862,16746,2925.0,0.8548715339608243
2024-04,Advertising / Media,1424,2009,4250.0,0.9964887640449438
2024-04,Architecture / Interior Design,1278,2442,4250.0,0.25039123630672927
2024-04,Banking and Finance,3465,8646,6500.0,1.7012987012987013
2024-04,Building and Construction,6476,14249,4200.0,0.47328597899938235
2024-04,Consulting,1711,7915,5000.0,0.8287551139684395
2024-04,Customer Service,4601,15928,3100.0,0.48424255596609433
2024-04,Design,563,883,3750.0,0.6962699822380106
2024-04,Education and Training,2611,10092,3400.0,0.40176177709689775
2024-04,Engineering,7281,14398,4250.0,0.4932014833127318
2024-04,Entertainment,166,470,4250.0,0.6566265060240963
2024-04,Environment / Health,651,3283,3750.0,0.5913978494623656
2024-04,Events / Promotions,339,807,3500.0,0.6784660766961652
2024-04,F&B,4819,18934,3650.0,0.22847063706163104
2024-04,General Management,925,2230,4750.0,1.1632432432432434
2024-04,General Work,1336,3619,2350.0,0.3166167664670659
2024-04,Healthcare / Pharmaceutical,2673,12914,3800.0,0.37411148522259635
2024-04,Hospitality,451,1016,3100.0,0.6940133037694013
2024-04,Human Resources,1689,2939,3800.0,1.1829484902309058
2024-04,Information Technology,7804,19139,7000.0,1.0221681189133778
2024-04,Insurance,281,598,5000.0,0.693950177935943
2024-04,Legal,254,392,6000.0,0.7204724409448819
2024-04,Logistics / Supply Chain,3693,7342,3250.0,0.6309233685350664
2024-04,Manufacturing,1444,3389,3575.0,0.4099722991689751
2024-04,Marketing / Public Relations,1693,2424,4000.0,0.9793266391021854
2024-04,Medical / Therapy Services,252,931,4500.0,0.24206349206349206
2024-04,Others,1694,3644,4000.0,0.6399055489964581
2024-04,Personal Care / Beauty,890,3237,4000.0,0.09887640449438202
2024-04,Precision Engineering,44,72,3750.0,0.38636363636363635
2024-04,Professional Services,246,892,4250.0,1.048780487804878
2024-04,Public / Civil Service,84,239,3500.0,0.8214285714285714
2024-04,Purchasing / Merchandising,346,466,3500.0,0.8815028901734104
2024-04,Real Estate / Property Management,291,640,3850.0,1.0171821305841924
2024-04,Repair and Maintenance,681,1721,3150.0,0.21292217327459617
2024-04,Risk Management,88,134,6700.0,1.1363636363636365
2024-04,Sales / Retail,2809,6639,3750.0,0.5154859380562478
2024-04,Sciences / Laboratory / R&D,895,1248,4950.0,0.40782122905027934
2024-04,Security and Investigation,150,2336,2825.0,0.37333333333333335
2024-04,Social Services,286,515,3812.5,1.0594405594405594
2024-04,Telecommunications,88,232,5000.0,0.9545454545454546
2024-04,Travel / Tourism,76,155,3325.0,0.4868421052631579
2024-04,Wholesale Trade,230,401,4000.0,0.9304347826086956
2024-05,Accounting / Auditing / Taxation,4922,7752,3750.0,0.48110524177163755
2024-05,Admin / Secretarial,7251,15506,2900.0,0.38780857812715486
2024-05,Advertising / Media,1480,2094,4750.0,0.4101351351351351
2024-05,Architecture / Interior Design,1112,1984,4250.0,0.1528776978417266
2024-05,Banking and Finance,3392,7825,6500.0,0.6633254716981132
2024-05,Building and Construction,5618,11888,4250.0,0.2036311854752581
2024-05,Consulting,1534,7197,5487.5,0.4426336375488918
2024-05,Customer Service,4214,13148,3150.0,0.24584717607973422
2024-05,Design,524,821,4000.0,0.43320610687022904
2024-05,Education and Training,2269,8361,3400.0,0.17761128250330543
2024-05,Engineering,6648,13538,4350.0,0.2770758122743682
2024-05,Entertainment,98,222,4325.0,0.2653061224489796
2024-05,Environment / Health,636,2719,3700.0,0.2169811320754717
2024-05,Events / Promotions,279,713,3500.0,0.3906810035842294
2024-05,F&B,3858,13381,3500.0,0.13063763608087092
2024-05,General Management,1164,5369,4000.0,0.3230240549828179
2024-05,General Work,914,4305,2450.0,0.1422319474835886
2024-05,Healthcare / Pharmaceutical,2334,10165,3800.0,0.20651242502142245
2024-05,Hospitality,379,814,3000.0,0.3007915567282322
2024-05,Human Resources,1488,2605,3750.0,0.5403225806451613
2024-05,Information Technology,6525,15152,7000.0,0.49440613026819924
2024-05,Insurance,288,784,5050.0,0.5034722222222222
2024-05,Legal,231,324,7500.0,0.4588744588744589
2024-05,Logistics / Supply Chain,3473,7433,3350.0,0.27785775986179095
2024-05,Manufacturing,1106,2409,3475.0,0.20976491862567812
2024-05,Marketing / Public Relations,1668,2634,3900.0,0.43465227817745805
2024-05,Medical / Therapy Services,270,906,4750.0,0.1111111111111111
2024-05,Others,2019,5994,3925.0,0.2867756315007429
2024-05,Personal Care / Beauty,740,2722,4000.0,0.07567567567567568
2024-05,Precision Engineering,51,128,4000.0,0.1568627450980392
2024-05,Professional Services,290,694,4250.0,0.28620689655172415
2024-05,Public / Civil Service,67,190,4200.0,0.5074626865671642
2024-05,Purchasing / Merchandising,287,356,3550.0,0.44947735191637633
2024-05,Real Estate / Property Management,310,697,3900.0,0.43870967741935485
2024-05,Repair and Maintenance,532,1296,3000.0,0.12406015037593984
2024-05,Risk Management,65,81,6200.0,0.6615384615384615
2024-05,Sales / Retail,2591,6352,3750.0,0.24430721729062138
2024-05,Sciences / Laboratory / R&D,909,1206,4950.0,0.29262926292629265
2024-05,Security and Investigation,132,1315,2800.0,0.22727272727272727
2024-05,Social Services,325,578,3750.0,0.36923076923076925
2024-05,Telecommunications,41,175,3500.0,0.36585365853658536
2024-05,Travel / Tourism,46,110,3100.0,0.391304347826087
2024-05,Wholesale Trade,179,334,4000.0,0.39664804469273746
